WBID,PLANNING_UNIT,GROUP_NAME,WATERBODY_NAME,WATERBODY_SIZE,UNITS,WATER_TYPE,CLASS,PERIMETER
2659A,Crescent Lake,Lower St. Johns,LAKE WINONA,0.24941,sq. miles,LAKE,3F,5900.96637432
3168X3,Econlockhatchee River,Middle St. Johns,LAKE TERRACE,0.00437,sq. miles,LAKE,3F,385.90431052
3169L,Upper Kissimmee,Kissimmee River,LITTLE SAND LAKE,0.2516,sq. miles,LAKE,3F,3289.33581646
3169M,Upper Kissimmee,Kissimmee River,WILLIS LAKE,0.20145,sq. miles,LAKE,3F,2840.69088315
1730,Lake Istokpoga,Kissimmee River,HICKORY LAKE,0.15734,sq. miles,LAKE,3F,2318.0715645
1730A,Lake Istokpoga,Kissimmee River,LAKE OLIVIA,0.13458,sq. miles,LAKE,3F,2203.0118245
1730B,Lake Istokpoga,Kissimmee River,LIVINGSTON LAKE,1.77905,sq. miles,LAKE,3F,9575.28659807
1730C,Lake Istokpoga,Kissimmee River,STREETY LAKE,0.50592,sq. miles,LAKE,3F,4599.46020987
3169N,Upper Kissimmee,Kissimmee River,LAKE BRYAN,0.33456,sq. miles,LAKE,3F,3548.84002805
2415F,Black Creek,Lower St. Johns,VARNES LAKE,0.46483,sq. miles,LAKE,3F,4792.19323476
2415G,Black Creek,Lower St. Johns,LAKE WHITMORE,0.21505,sq. miles,LAKE,3F,3646.62775326
3169I,Upper Kissimmee,Kissimmee River,LAKE MANN,0.41293,sq. miles,LAKE,3F,4971.14617816
3169J,Upper Kissimmee,Kissimmee River,LAKE CAIN (CANE),0.12308,sq. miles,LAKE,3F,2114.75608067
3169K,Upper Kissimmee,Kissimmee River,SPRING LAKE,0.15887,sq. miles,LAKE,3F,2645.89629564
3170G7,Upper Kissimmee,Kissimmee River,LAKE SHARPE,0.04841,sq. miles,LAKE,3F,2131.52289977
3170H1,Upper Kissimmee,Kissimmee River,LAKE SHEEN,0.89032,sq. miles,LAKE,3F,6042.34694465
3170H2,Upper Kissimmee,Kissimmee River,POCKET LAKE,0.19963,sq. miles,LAKE,3F,3089.57975616
3170I,Upper Kissimmee,Kissimmee River,LAKE HICKORYNUT,0.65286,sq. miles,LAKE,3F,13304.39052461
3170I2,Upper Kissimmee,Kissimmee River,PANTHER LAKE,0.1126,sq. miles,LAKE,3F,4949.76500659
3170J3,Upper Kissimmee,Kissimmee River,CYPRESS LAKE (ORANGE COUNTY),0.09721,sq. miles,LAKE,3F,2291.54287085
1938C,Lake Placid,Kissimmee River,LAKE PLACID,5.326030000000000,sq. miles,LAKE,3F,18101.99177531
2381A,Julington Creek,Lower St. Johns,MANDARIN LAKE,0.02988,sq. miles,LAKE,3F,1747.62724478
2528,Etonia Creek,Lower St. Johns,BIG LAKE JOHNSON,0.17186,sq. miles,LAKE,3F,4465.44329523
2528A,Etonia Creek,Lower St. Johns,SMITH LAKE,0.2319,sq. miles,LAKE,3F,6484.81098848
1622,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE GARFIELD,0.98505,sq. miles,LAKE,3F,7724.242488180000
1488D,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ALFRED,1.05697,sq. miles,LAKE,3F,8258.714438820000
1613B,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE GORDON,0.27503,sq. miles,LAKE,3F,3181.1641765
1613C,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE GORDON (SW),0.1297,sq. miles,LAKE,3F,2214.21302843
1613D,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE PARKER,0.20002,sq. miles,LAKE,3F,3112.32340117
1647A,Upper Peace River,Sarasota Bay - Peace - Myakka,GADAU LAKE,0.04933,sq. miles,LAKE,3F,2601.92753278
1677C,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BUFFUM,1.98174,sq. miles,LAKE,3F,16918.59938411
1488D1,Upper Peace River,Sarasota Bay - Peace - Myakka,GRASS LAKE,0.01524,sq. miles,LAKE,3F,948.97169
1488D2,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE GRIFFIN,0.024,sq. miles,LAKE,3F,1048.85995296
1488D3,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE CAMP,0.07519,sq. miles,LAKE,3F,1681.89241414
1488E,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE IDA (WINTER HAVEN),0.02667,sq. miles,LAKE,3F,957.6021683
1488F,Upper Peace River,Sarasota Bay - Peace - Myakka,CITRUS LAKE,0.00471,sq. miles,LAKE,3F,452.67430051
1488G,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE SILVER,0.08278,sq. miles,LAKE,3F,1650.93463803
1488H,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE GEM (POLK COUNTY),0.00565,sq. miles,LAKE,3F,405.68858927
15041,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HAMILTON,3.34705,sq. miles,LAKE,3F,16367.70447047
1504A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HENRY,1.26593,sq. miles,LAKE,3F,9756.5104554
3264X,Hillsboro Canal,Lake Worth Lagoon - Palm Beach Coast,LAKEVIEW LAKES,0.3341,sq. miles,LAKE,3F,8624.862928150000
1677C1,Upper Peace River,Sarasota Bay - Peace - Myakka,LIZZIE LAKE,0.11864,sq. miles,LAKE,3F,2416.0612037
15101,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE EVA,0.23621,sq. miles,LAKE,3F,4272.11070512
15102,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BUTLER,0.01982,sq. miles,LAKE,3F,1034.98325392
3270X,Broward County,Southeast Coast - Biscayne Bay,MARGATE LAKES,0.01294,sq. miles,LAKE,3F,1054.22451493
1497D1,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE CRAGO,0.07891,sq. miles,LAKE,3F,2675.35050843
1497E,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BONNY,0.34615,sq. miles,LAKE,3F,9515.53565492
1548,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ELBERT,0.26442,sq. miles,LAKE,3F,3766.90792363
1497F,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HOLLOWAY,0.03881,sq. miles,LAKE,3F,1126.50440791
1497G,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MIRROR,0.02905,sq. miles,LAKE,3F,1016.90999897
1497H,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MORTON,0.06186,sq. miles,LAKE,3F,1443.70922018
1497I,Upper Peace River,Sarasota Bay - Peace - Myakka,ANGLER'S LAKE,0.04707,sq. miles,LAKE,3F,2610.34059324
1497J,Upper Peace River,Sarasota Bay - Peace - Myakka,SADDLE CREEK LAKES,0.52761,sq. miles,LAKE,3F,7219.3293555
15001,Upper Peace River,Sarasota Bay - Peace - Myakka,LITTLE LAKE HAMILTON,0.53979,sq. miles,LAKE,3F,6844.82726012
1856B,Lake Istokpoga,Kissimmee River,LAKE ISTOKPOGA,41.67672,sq. miles,LAKE,3F,51979.6453003
3194E,North St. Lucie,St. Lucie - Loxahatchee,HENDERSON POND,0.02682,sq. miles,LAKE,3F,1036.04457003
3194F,North St. Lucie,St. Lucie - Loxahatchee,UNNAMED LAKE,0.045,sq. miles,LAKE,3F,2970.507017
2041B,Lower Peace River,Sarasota Bay - Peace - Myakka,SHELL CREEK RESERVOIR (HAMILTON RESERVOIR),0.21684,sq. miles,LAKE,1,21775.53874986
1647,Upper Peace River,Sarasota Bay - Peace - Myakka,SURVEYORS LAKE,0.43643,sq. miles,LAKE,3F,5534.35824136
1860B,Lake Istokpoga,Kissimmee River,LAKE JOSEPHINE,1.95228,sq. miles,LAKE,3F,15197.56089929
1860D,Lake Istokpoga,Kissimmee River,LAKE JACKSON,5.03675,sq. miles,LAKE,3F,15396.04270554
1860E,Lake Istokpoga,Kissimmee River,HILL LAKE,0.10969,sq. miles,LAKE,3F,1980.22298355
1860F,Lake Istokpoga,Kissimmee River,LAKE LYNN,0.03162,sq. miles,LAKE,3F,1011.1998075
1860G,Lake Istokpoga,Kissimmee River,LITTLE LAKE JACKSON,0.21469,sq. miles,LAKE,3F,3102.48768245
3194G,North St. Lucie,St. Lucie - Loxahatchee,LAKE EDEN,0.05075,sq. miles,LAKE,3F,2318.995728
1891A,Lake Istokpoga,Kissimmee River,RED BEACH LAKE,0.51926,sq. miles,LAKE,3F,5432.75325365
3170J4,Upper Kissimmee,Kissimmee River,OPEN POND (LAKE BURDEN),0.19584,sq. miles,LAKE,3F,5738.41851788
1590E,Upper Peace River,Sarasota Bay - Peace - Myakka,REEVES LAKE,0.04202,sq. miles,LAKE,3F,1092.01995458
3226J,Biscayne Bay Intracoastal,Southeast Coast - Biscayne Bay,HIGHLANDS LAKE,0.04433,sq. miles,LAKE,3F,2641.98585482
3226K,Biscayne Bay Intracoastal,Southeast Coast - Biscayne Bay,SKY LAKE,0.03013,sq. miles,LAKE,3F,1639.1826745
1590Z,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BESS,0.22879,sq. miles,LAKE,3F,2973.3816635
1449A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE DEESON,0.07315,sq. miles,LAKE,3F,2268.66815941
1488A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE SMART,0.41225,sq. miles,LAKE,3F,4255.56703465
1488B,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ROCHELLE,0.8064,sq. miles,LAKE,3F,6771.33162415
1488C,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HAINES,1.04946,sq. miles,LAKE,3F,9178.1553778
1488C1,Upper Peace River,Sarasota Bay - Peace - Myakka,GUM LAKE,0.26579,sq. miles,LAKE,3F,3116.9499479
3262A,C-15,Lake Worth Lagoon - Palm Beach Coast,LAKE IDA,0.22609,sq. miles,LAKE,3F,9568.28096976
14881,Upper Peace River,Sarasota Bay - Peace - Myakka,SWAN LAKE,0.00177,sq. miles,LAKE,3F,787.9806284
14882,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE FANNIE,1.11196,sq. miles,LAKE,3F,10174.75064761
1501B,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ARIANA,1.59191,sq. miles,LAKE,3F,7781.53165342
1501C,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ARIETTA,1.15457,sq. miles,LAKE,3F,6211.20792054
1501D,Upper Peace River,Sarasota Bay - Peace - Myakka,DINNER LAKE,0.03168,sq. miles,LAKE,3F,1042.51519935
15002,Upper Peace River,Sarasota Bay - Peace - Myakka,MIDDLE LAKE HAMILTON,0.15204,sq. miles,LAKE,3F,2746.88727182
15003,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE CONFUSION,0.02144,sq. miles,LAKE,3F,899.04863392
15004,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HESTER,0.01183,sq. miles,LAKE,3F,640.87453497
15005,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BROWN,0.02778,sq. miles,LAKE,3F,1068.03735762
1501,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE LENA,0.3224,sq. miles,LAKE,3F,3334.21572515
1501V,Upper Peace River,Sarasota Bay - Peace - Myakka,SPIRIT LAKE,0.32362,sq. miles,LAKE,3F,3895.96064863
1501W,Upper Peace River,Sarasota Bay - Peace - Myakka,SEARS LAKE,0.11902,sq. miles,LAKE,3F,1981.82731826
1501X,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE THOMAS,0.09294,sq. miles,LAKE,3F,1755.81138622
1501Z,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE WHISTLER,0.11974,sq. miles,LAKE,3F,2130.55386801
3170L,Upper Kissimmee,Kissimmee River,LAKE INGRAM,0.06656,sq. miles,LAKE,3F,1948.82963978
3170M,Upper Kissimmee,Kissimmee River,HUCKLEBERRY LAKE,0.15121,sq. miles,LAKE,3F,2337.6301398
3170O,Upper Kissimmee,Kissimmee River,LAKE MABEL,0.61546,sq. miles,LAKE,3F,6817.77391219
1539Y,Upper Peace River,Sarasota Bay - Peace - Myakka,LINK LAKE,0.04267,sq. miles,LAKE,3F,1197.45397709
1539Z,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MENZIE,0.0321,sq. miles,LAKE,3F,1023.12100569
3170O2,Upper Kissimmee,Kissimmee River,SOUTH LAKE (ORANGE COUNTY),0.19785,sq. miles,LAKE,3F,3084.35511037
3170P,Upper Kissimmee,Kissimmee River,SAWYER LAKE,0.14519,sq. miles,LAKE,3F,2726.17632454
3170Q,Upper Kissimmee,Kissimmee River,LAKE BUTLER,2.64355,sq. miles,LAKE,3F,18261.36660139
3274A,Broward County,Southeast Coast - Biscayne Bay,LAKE MELVA,0.01424,sq. miles,LAKE,3F,1533.50969269
1613A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BLUE (SOUTH),0.16381,sq. miles,LAKE,3F,3359.17044314
1613E,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BELLE,0.08088,sq. miles,LAKE,3F,3238.46435599
1613F,Upper Peace River,Sarasota Bay - Peace - Myakka,TWIN LAKES,0.05123,sq. miles,LAKE,3F,2124.36780868
1617A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE EFFIE,0.14152,sq. miles,LAKE,3F,4048.83222942
1938,Lake Placid,Kissimmee River,LAKE HENRY,0.10125,sq. miles,LAKE,3F,2383.43680022
3212I,Lake Okeechobee,Lake Okeechobee,LAKE OKEECHOBEE,24.51351,sq. miles,LAKE,1,37328.37955514
1532C,Upper Kissimmee,Kissimmee River,CYPRESS LAKE,0.11428,sq. miles,LAKE,3F,2368.30477868
1573A,Upper Kissimmee,Kissimmee River,TIGER LAKE,3.35372,sq. miles,LAKE,3F,13346.75419783
1573C,Upper Kissimmee,Kissimmee River,LAKE ROSALIE,7.08352,sq. miles,LAKE,3F,16633.0299951
3168Q,Upper Kissimmee,Kissimmee River,LAKE WARREN (LAKE MARE PRAIRIE),0.17217,sq. miles,LAKE,3F,3420.23174295
3168W,Upper Kissimmee,Kissimmee River,BEAR HEAD LAKE,0.0243,sq. miles,LAKE,3F,897.77732355
3168W1,Upper Kissimmee,Kissimmee River,LAKE MARY GEM,0.02049,sq. miles,LAKE,3F,850.2432872100000
3168W2,Econlockhatchee River,Middle St. Johns,DRUID LAKE,0.0292,sq. miles,LAKE,3F,1020.58025319
3168W3,Econlockhatchee River,Middle St. Johns,LAKE WADE,0.00577,sq. miles,LAKE,3F,452.17007783
3168W4,Econlockhatchee River,Middle St. Johns,LAKE OF THE WOODS,0.0066,sq. miles,LAKE,3F,580.70525019
3168W5,Upper Kissimmee,Kissimmee River,LAKE TYNER,0.00925,sq. miles,LAKE,3F,561.5394293
1588A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MCLEOD,0.70152,sq. miles,LAKE,3F,5042.25520184
1589,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MABEL,0.11679,sq. miles,LAKE,3F,2769.64295461
1590A,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE RUBY,0.4045,sq. miles,LAKE,3F,3697.19985338
1573E,Lake Istokpoga,Kissimmee River,LAKE WEOHYAKAPKA,11.82412,sq. miles,LAKE,3F,21240.15064283
1573F,Upper Kissimmee,Kissimmee River,LAKE AURORA,0.20599,sq. miles,LAKE,3F,5674.47266875
1619A,Lake Istokpoga,Kissimmee River,LAKE WALES,0.46843,sq. miles,LAKE,3F,5071.44921108
1619B,Lake Istokpoga,Kissimmee River,LAKE EASY,0.63563,sq. miles,LAKE,3F,5608.21117459
1619C,Lake Istokpoga,Kissimmee River,LAKE LEONORE,0.61486,sq. miles,LAKE,3F,5092.31598363
1619D,Lake Istokpoga,Kissimmee River,LAKE MOODY,0.63917,sq. miles,LAKE,3F,4920.32533466
1619E,Lake Istokpoga,Kissimmee River,LAKE AMORET,0.02034,sq. miles,LAKE,3F,1198.93032771
1663,Lake Istokpoga,Kissimmee River,CROOKED LAKE,6.6805,sq. miles,LAKE,3F,35350.9659256
3168W6,Upper Kissimmee,Kissimmee River,LAKE WARREN,0.01838,sq. miles,LAKE,3F,1578.45457781
3168W7,Upper Kissimmee,Kissimmee River,LAKE BUMBY,0.01719,sq. miles,LAKE,3F,1135.6334918
3168X,Upper Kissimmee,Kissimmee River,LAKE PORTER,0.05248,sq. miles,LAKE,3F,1545.96427237
3168X1,Upper Kissimmee,Kissimmee River,LAKE TENNESSEE (ORANGE COUNTY),0.01601,sq. miles,LAKE,3F,767.44290907
3169C,Upper Kissimmee,Kissimmee River,BIG SAND LAKE,1.62764,sq. miles,LAKE,3F,17488.08617427
3169E,Upper Kissimmee,Kissimmee River,LAKE LOUISA (MARSHA),0.14349,sq. miles,LAKE,3F,14634.32039786
3169F,Upper Kissimmee,Kissimmee River,TURKEY LAKE,0.50477,sq. miles,LAKE,3F,7047.54811571
3169G,Upper Kissimmee,Kissimmee River,CLEAR LAKE,0.55865,sq. miles,LAKE,3F,12535.49442083
3170FE,Upper Kissimmee,Kissimmee River,LAKE BRITT,0.15895,sq. miles,LAKE,3F,5366.44807463
1590B,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ASHTON (LAKE MYRTLE),0.5767,sq. miles,LAKE,3F,5674.34274685
1590C,Upper Peace River,Sarasota Bay - Peace - Myakka,RATTLESNAKE LAKE,0.13373,sq. miles,LAKE,3F,3065.9413789
1590D,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HART,0.08666,sq. miles,LAKE,3F,2637.57012171
3170FF,Upper Kissimmee,Kissimmee River,LAKE OSAGE,0.03529,sq. miles,LAKE,3F,1470.63376625
3170FG,Upper Kissimmee,Kissimmee River,OLD LAKE DAVENPORT,0.28515,sq. miles,LAKE,3F,5682.26308766
3170G1,Upper Kissimmee,Kissimmee River,LAKE HANCOCK (ORANGE COUNTY),0.74454,sq. miles,LAKE,3F,15368.99044107
3170G2,Upper Kissimmee,Kissimmee River,LAKE SPEER,0.36404,sq. miles,LAKE,3F,4019.60158964
1776A,Middle Peace River,Sarasota Bay - Peace - Myakka,CHILTON LAKE,0.0252,sq. miles,LAKE,3F,1159.38092171
1761G,Lake Istokpoga,Kissimmee River,FOX LAKE,0.0402,sq. miles,LAKE,3F,1187.44993872
1761H,Lake Istokpoga,Kissimmee River,LAKE LUCAS,0.01596,sq. miles,LAKE,3F,773.6371353000000
3170T,Upper Kissimmee,Kissimmee River,LAKE BESSIE,0.25709,sq. miles,LAKE,3F,4045.18210069
3170U,Upper Kissimmee,Kissimmee River,LAKE BLANCHE,0.19123,sq. miles,LAKE,3F,2800.37326459
3170G3,Upper Kissimmee,Kissimmee River,SAWGRASS LAKE (ORANGE COUNTY),0.10065,sq. miles,LAKE,3F,3734.58020481
3170G4,Upper Kissimmee,Kissimmee River,TUB LAKE,0.06565,sq. miles,LAKE,3F,1692.12287526
3170G5,Upper Kissimmee,Kissimmee River,LITTLE LAKE SAWYER,0.0984,sq. miles,LAKE,3F,2104.85909152
3170G6,Upper Kissimmee,Kissimmee River,LAKE REAMS,0.177,sq. miles,LAKE,3F,7369.73477343
3258C7,Estero Bay,Everglades West Coast,GATOR LAKE,0.01545,sq. miles,LAKE,3F,927.17121537
3170W,Upper Kissimmee,Kissimmee River,LAKE LOUISE,0.20026,sq. miles,LAKE,3F,4206.17932464
3170X,Upper Kissimmee,Kissimmee River,LAKE PALMER (LAKE ISLEWORTH),0.07252,sq. miles,LAKE,3F,2056.33675086
3170Y,Upper Kissimmee,Kissimmee River,LAKE TIBET BUTLER,1.89557,sq. miles,LAKE,3F,18237.83158571
3170Z1,Upper Kissimmee,Kissimmee River,LITTLE FISH LAKE,0.03798,sq. miles,LAKE,3F,1163.68489131
3171,Upper Kissimmee,Kissimmee River,LAKE HART,2.94057,sq. miles,LAKE,3F,16688.90966092
3171A,Upper Kissimmee,Kissimmee River,LAKE MARY JANE,1.77499,sq. miles,LAKE,3F,12895.95259962
1629A,Upper Peace River,Sarasota Bay - Peace - Myakka,BRUSH LAKE,0.05053,sq. miles,LAKE,3F,1337.16490869
3171B,Upper Kissimmee,Kissimmee River,LAKE WHIP-POOR-WILL,0.51052,sq. miles,LAKE,3F,5193.20471911
3171C,Upper Kissimmee,Kissimmee River,RED LAKE,0.19078,sq. miles,LAKE,3F,3084.04909467
3171D,Upper Kissimmee,Kissimmee River,LAKE NONA,0.9178,sq. miles,LAKE,3F,5643.57675135
3171ED,Upper Kissimmee,Kissimmee River,HINDEN LAKE,0.24439,sq. miles,LAKE,3F,3179.38012385
3171F,Upper Kissimmee,Kissimmee River,AJAY LAKE,0.23547,sq. miles,LAKE,3F,5325.31409302
3171G,Upper Kissimmee,Kissimmee River,BUCK LAKE (ORANGE COUNTY),0.19533,sq. miles,LAKE,3F,3171.59552615
3172,Upper Kissimmee,Kissimmee River,EAST LAKE TOHOPEKALIGA,18.97089,sq. miles,LAKE,3F,41467.93543409
3172B,Upper Kissimmee,Kissimmee River,LAKE RUNNYMEADE,0.5177,sq. miles,LAKE,3F,5507.02708336
3173A,Upper Kissimmee,Kissimmee River,LAKE TOHOPEKALIGA,29.69649,sq. miles,LAKE,3F,72657.80401571
1857A,Middle Peace River,Sarasota Bay - Peace - Myakka,LAKE SCHUMACHER,0.01411,sq. miles,LAKE,3F,758.09079862
1857B,Middle Peace River,Sarasota Bay - Peace - Myakka,LAKE BLUE,0.1451,sq. miles,LAKE,3F,4995.95665566
3168X2,Econlockhatchee River,Middle St. Johns,HOURGLASS LAKE,0.02161,sq. miles,LAKE,3F,1175.19674793
1497A,Upper Peace River,Sarasota Bay - Peace - Myakka,CRYSTAL LAKE,0.04229,sq. miles,LAKE,3F,1354.31046385
1497B,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE PARKER,3.12542,sq. miles,LAKE,3F,19196.91016143
1497C,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE TENOROC,0.03633,sq. miles,LAKE,3F,2378.83701787
1497D,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE GIBSON,0.76572,sq. miles,LAKE,3F,7746.79686202
1532B,Upper Kissimmee,Kissimmee River,LAKE MARIE,0.06708,sq. miles,LAKE,3F,1850.61973843
3169G2,Upper Kissimmee,Kissimmee River,LAKE PAMELA,0.02834,sq. miles,LAKE,3F,1122.22706314
3169G3,Upper Kissimmee,Kissimmee River,LAKE FRAN,0.13707,sq. miles,LAKE,3F,3392.07600685
3169G4,Upper Kissimmee,Kissimmee River,LAKE KOZART,0.01038,sq. miles,LAKE,3F,1299.51273538
3169G5,Upper Kissimmee,Kissimmee River,LAKE WALKER,0.0156,sq. miles,LAKE,3F,3174.43758108
3169G6,Upper Kissimmee,Kissimmee River,LAKE RICHMOND,0.05419,sq. miles,LAKE,3F,1563.18286126
3256A,C-16,Lake Worth Lagoon - Palm Beach Coast,LAKE OSBORNE,0.56322,sq. miles,LAKE,3F,19592.73789602
1813A,Lake Istokpoga,Kissimmee River,DINNER LAKE,0.58406,sq. miles,LAKE,3F,5535.14191837
1813B,Lake Istokpoga,Kissimmee River,LAKE LOTELA,1.20318,sq. miles,LAKE,3F,7934.24537365
1813C,Lake Istokpoga,Kissimmee River,LAKE LETTA,0.72343,sq. miles,LAKE,3F,5185.13115785
1813D,Lake Istokpoga,Kissimmee River,LAKE TULANE,0.13745,sq. miles,LAKE,3F,2229.3470011
1813E,Lake Istokpoga,Kissimmee River,BONNET LAKE,0.41733,sq. miles,LAKE,3F,4621.58992997
1813F,Lake Istokpoga,Kissimmee River,LAKE ANGELO,0.08715,sq. miles,LAKE,3F,1770.35488656
3169G7,Upper Kissimmee,Kissimmee River,SUNSET LAKE (ORANGE COUNTY),0.04498,sq. miles,LAKE,3F,1331.51140083
3169G8,Upper Kissimmee,Kissimmee River,LAKE BEARDALL,0.00499,sq. miles,LAKE,3F,509.62068096
3169H,Upper Kissimmee,Kissimmee River,LAKE LORNA DOONE,0.02389,sq. miles,LAKE,3F,896.25903129
1488Z,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ECHO,0.1049,sq. miles,LAKE,3F,1907.60130755
1521J,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE IDYLWILD,0.14513,sq. miles,LAKE,3F,2371.72807238
1521K,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE JESSIE,0.28179,sq. miles,LAKE,3F,3383.75744814
14921,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE TRACY,0.15599,sq. miles,LAKE,3F,3814.07159619
14922,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE JOE,0.01393,sq. miles,LAKE,3F,793.69650075
1521L,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MARIANNA (SANITARY),0.80409,sq. miles,LAKE,3F,6365.68623805
1521M,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE SUMMIT,0.10209,sq. miles,LAKE,3F,1916.0793508
1521N,Upper Peace River,Sarasota Bay - Peace - Myakka,INA LAKE,0.01232,sq. miles,LAKE,3F,821.2945568900000
1521O,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE ROY,0.11104,sq. miles,LAKE,3F,2385.50026976
1521P,Upper Peace River,Sarasota Bay - Peace - Myakka,DEER LAKE,0.18807,sq. miles,LAKE,3F,2589.1284441
1521Q,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE BLUE,0.08446,sq. miles,LAKE,3F,1680.22846062
3224A2,Loxahatchee,St. Lucie - Loxahatchee,MACHINE GUN LAKE,0.01915,sq. miles,LAKE,3F,1375.84501867
3201C,Lake Placid,Kissimmee River,LAKE CREWS,0.09214,sq. miles,LAKE,3F,1815.14639974
3212A,Lake Okeechobee,Lake Okeechobee,LAKE OKEECHOBEE,14.81278,sq. miles,LAKE,1,42505.75465966
1932D,Lake Placid,Kissimmee River,PEARL LAKE,0.10242,sq. miles,LAKE,3F,1858.16333984
1932E,Lake Placid,Kissimmee River,LAKE HUNTLEY,1.05144,sq. miles,LAKE,3F,9754.43685991
1932F,Lake Placid,Kissimmee River,LAKE HARRY,0.02247,sq. miles,LAKE,3F,811.76695981
1932G,Lake Placid,Kissimmee River,LAKE APTHORPE,0.33489,sq. miles,LAKE,3F,5475.60323935
1932H,Lake Placid,Kissimmee River,LAKE SIMMONS,0.04255,sq. miles,LAKE,3F,1216.09104811
1932I,Lake Placid,Kissimmee River,BUCK LAKE,0.0158,sq. miles,LAKE,3F,732.08542333
1521G,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE MIRROR,0.19827,sq. miles,LAKE,3F,2619.14944559
1521G1,Upper Peace River,Sarasota Bay - Peace - Myakka,SPRING LAKE,0.03835,sq. miles,LAKE,3F,1137.34943185
1521H,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE CANNON,0.519,sq. miles,LAKE,3F,4214.75344969
1521I,Upper Peace River,Sarasota Bay - Peace - Myakka,LAKE HARTRIDGE,0.68351,sq. miles,LAKE,3F,6646.48374953
3168K,Upper Kissimmee,Kissimmee River,BAY LAKE,0.06664,sq. miles,LAKE,3F,1816.73223272
3168M,Econlockhatchee River,Middle St. Johns,LAKE COPELAND,0.02342,sq. miles,LAKE,3F,1005.91901416
3168N,Econlockhatchee River,Middle St. Johns,LAKE OLIVE,0.0051,sq. miles,LAKE,3F,415.28511763
3168O,Upper Kissimmee,Kissimmee River,LAKE MARY JESS,0.0749,sq. miles,LAKE,3F,1680.56155744
3168P,Upper Kissimmee,Kissimmee River,LAKE MARGARET,0.01643,sq. miles,LAKE,3F,815.8576738400000
3212B,Lake Okeechobee,Lake Okeechobee,LAKE OKEECHOBEE,51.07342,sq. miles,LAKE,1,49119.43332865
